Category_name,Service_id,Service_name,Alias,Tags,Icon,Icon_color
Domestic Help,maid,Maid / House Help,"Safai, cleaning","Sweeping, Mopping, Dusting, Utensil Washing, Kitchen Cleaning, Bathroom Cleaning, Toilet Cleaning, Laundry, Clothes Drying, Folding Clothes, Ironing, Bed Making, Bedsheet Changing, Dusting Furniture, Balcony Cleaning, Terrace Cleaning, Household Organizing, Wardrobe Organizing, Kitchen Organizing, Grocery Assistance, Household Errands, Vegetable/Fruit Shopping, Medicine Pickup, Parcel Pickup/Drop, General Household Help",construct,#4CAF50
Domestic Help,cook,Cook,"Khana, Roti","Breakfast, Lunch, Dinner, Full-Day Cooking, Part-Time Cooking, Daily Meal Preparation, Vegetarian, Jain Food, North Indian, South Indian, Punjabi, Gujarati, Rajasthani, Bengali, Maharashtrian, Mughlai, Biryani, Snacks, Tiffin, Children's Meals, Baby Food, Elderly Meals, Low-Oil Meals, Diabetic-Friendly Meals, Special-Diet Cooking, Party Cooking, Festival Cooking, Bulk Cooking, Meal Prep, Grocery-Based Cooking",construct,#4CAF50
Domestic Help,babysitter,Babysitter / Nanny,,"Newborn Care, Infant Care, Toddler Care, Child Care, Feeding, Bottle Feeding, Baby Bathing, Dressing, Diaper Changing, Potty Assistance, Sleep Supervision, Night Care, Day Care, Full-Day Care, Part-Time Care, Playtime, School Pickup, School Drop, Homework Supervision, Child Meal Preparation, Travel Accompaniment, Event Childcare, Multiple Children",construct,#4CAF50
Domestic Help,elder_care,Elder Care,,"Companionship, Conversation, Walking Assistance, Mobility Assistance, Feeding Assistance, Bathing Assistance, Dressing Assistance, Toileting Assistance, Medication Reminders, Doctor Visit Assistance, Hospital Visit Assistance, Meal Assistance, Shopping Assistance, Household Assistance, Day Care, Night Care, Overnight Care, Post-Hospital Assistance, Travel Accompaniment, General Elder Assistance",construct,#4CAF50
Domestic Help,patient_attendant,Patient Attendant,,"Bedridden Care, Post-Surgery Care, Post-Hospitalization Care, Feeding, Bathing, Dressing, Toileting, Diaper Changing, Mobility Assistance, Wheelchair Assistance, Bed Transfer, Medication Reminders, Hospital Attendant, Day Attendant, Night Attendant, 24-Hour Attendant, Patient Companionship, Personal Hygiene Assistance, Recovery Assistance",construct,#4CAF50
Domestic Help,errand_personal_helper,Errand / Personal Helper,,"Grocery Shopping, Medicine Pickup, Document Pickup, Document Delivery, Courier Pickup, Queue Assistance, Appointment Assistance, Bill-Payment Errands, Household Errands, Parcel Pickup/Drop, General Personal Assistance",construct,#4CAF50
Domestic Help,gardener,Gardener,,"Plant Watering, Planting, Pruning, Lawn Maintenance, Garden Cleaning, Terrace Garden, Balcony Garden, Kitchen Garden, Plant Repotting, Soil Replacement, Fertilizing, Weed Removal, Hedge Trimming, Tree Trimming, Garden Setup, Plant Maintenance",construct,#4CAF50
Domestic Help,pet_care,Pet Care,,"Dog Walking, Pet Walking, Pet Sitting, Pet Feeding, Pet Bathing, Pet Boarding Assistance, Pet Transportation, Puppy Care, Cat Care, General Pet Care",construct,#4CAF50
Cleaning,home_cleaning,Home Cleaning,,"Regular Cleaning, Deep Cleaning, Kitchen Cleaning, Bathroom Cleaning, Toilet Cleaning, Bedroom Cleaning, Living Room Cleaning, Floor Cleaning, Wall Cleaning, Ceiling Cleaning, Balcony Cleaning, Terrace Cleaning, Dust Removal, Cobweb Removal, Furniture Cleaning, Cabinet Cleaning, Wardrobe Cleaning, Door Cleaning, Staircase Cleaning, Move-In Cleaning, Move-Out Cleaning, Post-Construction Cleaning, Post-Renovation Cleaning, Post-Event Cleaning, Empty-Home Cleaning, Single-Room Cleaning, Full-Home Cleaning, Kitchen Deep Cleaning, Bathroom Deep Cleaning, Home Sanitization",construct,#03A9F4
Cleaning,specialized_cleaning,Specialized Cleaning,,"Sofa Cleaning, Carpet Cleaning, Rug Cleaning, Mattress Cleaning, Curtain Cleaning, Window Cleaning, Glass Cleaning, Mirror Cleaning, Upholstery Cleaning, Office Chair Cleaning, Dining Chair Cleaning, Cushion Cleaning, Blind Cleaning, Mosquito-Mesh Cleaning, Furniture Deep Cleaning, Stain Removal, Oil-Stain Removal, Food-Stain Removal, Pet-Stain Removal, Odour Removal, Steam Cleaning, Shampoo Cleaning, Vacuum Cleaning, Dry Cleaning, Mold Removal, Dust-Mite Treatment, Sanitization, Fabric Cleaning, Restoration Cleaning",construct,#03A9F4
Cleaning,floor_surface_cleaning,Floor & Surface Cleaning,,"Tile Cleaning, Grout Cleaning, Marble Cleaning, Marble Polishing, Granite Cleaning, Kota Stone Cleaning, Stone Polishing, Cement-Floor Cleaning, Wooden-Floor Cleaning, Vinyl-Floor Cleaning, Floor Scrubbing, Floor Buffing, Floor Polishing, Stain Removal, Oil Removal, Cement Removal, Paint Removal, Hard-Water Stain Removal, Scale Removal, Scratch Treatment, Surface Restoration, Re-Grouting, Floor Deep Cleaning",construct,#03A9F4
Cleaning,pest_control,Pest Control,,"Cockroach, Termite, Mosquito, Bed Bug, Ant, Rat, Mouse, Rodent, Fly, Lizard, Silverfish, Wood Borer, Spider, Wasp, Bee, Moth, Flea, Tick, General Insects, Kitchen Pest Control, Garden Pest Control, Home Pest Control, Office Pest Control, Restaurant Pest Control, Warehouse Pest Control, Preventive Pest Control, Pre-Construction Termite Treatment, Post-Construction Termite Treatment",construct,#03A9F4
Cleaning,water_tank_cleaning,Water Tank Cleaning,,"Overhead Tank, Underground Tank, Domestic Tank, Commercial Tank, Sludge Removal, Algae Removal, Sediment Removal, Tank Disinfection, Tank Sanitization, Water-Tank Inspection",construct,#03A9F4
Home Repair & Maintenance,electrician,Electrician,,"Light Installation, Light Repair, LED Installation, Fan Installation, Fan Repair, Exhaust Fan, Switch Repair, Socket Repair, Switchboard Repair, New Switchboard, MCB Installation, MCB Replacement, Fuse Repair, Short Circuit, Wiring Repair, New Wiring, Rewiring, Power Point Installation, Earthing, Electrical Inspection, Appliance Connection, Doorbell, Dimmer, Regulator, Inverter Wiring, Electrical Panel, Meter Wiring, Outdoor Lighting, Decorative Lighting, Emergency Electrical Repair",construct,#FF9800
Home Repair & Maintenance,plumber,Plumber,,"Tap Repair, Tap Installation, Mixer Installation, Shower Installation, Shower Repair, Sink Installation, Sink Repair, Washbasin, Toilet Installation, Toilet Repair, Flush Repair, Flush Replacement, Pipe Leakage, Pipe Replacement, Water-Pipe Installation, Drain Blockage, Drain Cleaning, Sewer Blockage, Kitchen Plumbing, Bathroom Plumbing, Water-Tank Connection, Water-Pressure Problem, RO Plumbing, Washing-Machine Plumbing, Dishwasher Plumbing, Leakage Detection, Bathroom Fittings, Kitchen Fittings, Emergency Plumbing",construct,#FF9800
